                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.6769,                 1.2421,                 1.7799,                0.82342,                0.94054,                0.92833,                0.54967,                 1.5233,                 1.6013,                 1.4245,               0.005347,               0.005347,               0.005347
                     49,                 1.6459,                 1.3096,                 1.7325,                0.79494,                0.77977,                   0.88,                0.55461,                  1.493,                 1.6671,                 1.4125,               0.005248,               0.005248,               0.005248
                     50,                 1.6553,                 1.3513,                 1.7333,                0.98838,                    0.8,                0.96167,                0.58834,                 1.5241,                 1.6845,                 1.4158,               0.005149,               0.005149,               0.005149
                     51,                 1.6319,                 1.2481,                 1.7262,                0.98277,                      1,                  0.995,                0.55756,                 1.6028,                 1.5791,                 1.5264,                0.00505,                0.00505,                0.00505
                     52,                  1.699,                 1.2449,                 1.7882,                      1,                0.99531,                  0.995,                0.62948,                 1.5292,                 1.3721,                 1.4008,               0.004951,               0.004951,               0.004951
                     53,                 1.5555,                 1.3537,                 1.8084,                0.98575,                      1,                  0.995,                0.62985,                 1.4391,                 1.3425,                 1.3498,               0.004852,               0.004852,               0.004852
                     54,                 1.6378,                 1.1979,                 1.7167,                0.98211,                      1,                  0.995,                0.51869,                 1.4275,                  1.253,                 1.3197,               0.004753,               0.004753,               0.004753
                     55,                 1.4746,                 1.1318,                 1.4862,                0.98245,                      1,                  0.995,                0.65778,                  1.369,                  1.209,                 1.3332,               0.004654,               0.004654,               0.004654
                     56,                 1.5427,                 1.1648,                  1.696,                0.98068,                      1,                  0.995,                 0.6211,                 1.6863,                 1.2076,                 1.4277,               0.004555,               0.004555,               0.004555
                     57,                 1.5459,                 1.1637,                 1.5571,                0.95587,                      1,                  0.995,                 0.4756,                 1.7396,                 1.5307,                 1.5374,               0.004456,               0.004456,               0.004456
                     58,                 1.6126,                 1.0815,                 1.6924,                0.90697,                      1,                  0.995,                 0.6065,                 1.3859,                 1.4165,                 1.2576,               0.004357,               0.004357,               0.004357
                     59,                 1.5299,                 1.0894,                 1.6686,                0.98278,                      1,                  0.995,                 0.7324,                   1.32,                0.98347,                  1.192,               0.004258,               0.004258,               0.004258
                     60,                 1.4941,                 1.1331,                 1.5566,                0.98167,                      1,                  0.995,                0.67132,                 1.4388,                 1.0831,                 1.3036,               0.004159,               0.004159,               0.004159
